trial_id,object_name,tool_family,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,hammer_swing_solver,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,semantic_contact_point_xy_error_m,screwdriver_max_primary_axis_tilt_deg,screwdriver_twist_angle_span_deg,error,replay_artifact_path
0000_claw_hammer_llm_lie_x-0p150_y-0p130,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.15,-0.13,False,,horizontal_head,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2071601418132609e-08,,,,geometry/replay/trials/0000_claw_hammer_llm_lie_x-0p150_y-0p130.json
0001_claw_hammer_llm_lie_x+0p000_y-0p130,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.13,False,,horizontal_head,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4917205310953643e-08,,,,geometry/replay/trials/0001_claw_hammer_llm_lie_x+0p000_y-0p130.json
0002_claw_hammer_llm_lie_x+0p150_y-0p130,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.15,-0.13,False,,horizontal_head,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2008706711422953e-08,,,,geometry/replay/trials/0002_claw_hammer_llm_lie_x+0p150_y-0p130.json
0003_claw_hammer_llm_lie_x-0p150_y-0p080,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.15,-0.08,False,,horizontal_head,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7483707728996102e-08,,,,geometry/replay/trials/0003_claw_hammer_llm_lie_x-0p150_y-0p080.json
0004_claw_hammer_llm_lie_x+0p000_y-0p080,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.08,False,,horizontal_head,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2490009027033004e-17,,,,geometry/replay/trials/0004_claw_hammer_llm_lie_x+0p000_y-0p080.json
0005_claw_hammer_llm_lie_x+0p150_y-0p080,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.15,-0.08,False,,horizontal_head,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,,,,geometry/replay/trials/0005_claw_hammer_llm_lie_x+0p150_y-0p080.json
0006_claw_hammer_llm_lie_x-0p150_y-0p030,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.15,-0.03,False,,horizontal_head,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,,,,geometry/replay/trials/0006_claw_hammer_llm_lie_x-0p150_y-0p030.json
0007_claw_hammer_llm_lie_x+0p000_y-0p030,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.03,False,,horizontal_head,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1192892883543326e-08,,,,geometry/replay/trials/0007_claw_hammer_llm_lie_x+0p000_y-0p030.json
0008_claw_hammer_llm_lie_x+0p150_y-0p030,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.15,-0.03,False,,horizontal_head,True,True,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.594315114139762e-17,,,,geometry/replay/trials/0008_claw_hammer_llm_lie_x+0p150_y-0p030.json
0009_mallet_hammer_llm_lie_x-0p150_y-0p130,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.15,-0.13,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,,,,geometry/replay/trials/0009_mallet_hammer_llm_lie_x-0p150_y-0p130.json
0010_mallet_hammer_llm_lie_x+0p000_y-0p130,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,-0.13,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8323681254664783e-08,,,,geometry/replay/trials/0010_mallet_hammer_llm_lie_x+0p000_y-0p130.json
0011_mallet_hammer_llm_lie_x+0p150_y-0p130,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.15,-0.13,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,geometry/replay/trials/0011_mallet_hammer_llm_lie_x+0p150_y-0p130.json
0012_mallet_hammer_llm_lie_x-0p150_y-0p080,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.15,-0.08,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1031676915590914e-17,,,,geometry/replay/trials/0012_mallet_hammer_llm_lie_x-0p150_y-0p080.json
0013_mallet_hammer_llm_lie_x+0p000_y-0p080,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,-0.08,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,,,,geometry/replay/trials/0013_mallet_hammer_llm_lie_x+0p000_y-0p080.json
0014_mallet_hammer_llm_lie_x+0p150_y-0p080,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.15,-0.08,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705173531287226e-08,,,,geometry/replay/trials/0014_mallet_hammer_llm_lie_x+0p150_y-0p080.json
0015_mallet_hammer_llm_lie_x-0p150_y-0p030,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.15,-0.03,False,,horizontal_head,True,True,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.520920826142872e-09,,,,geometry/replay/trials/0015_mallet_hammer_llm_lie_x-0p150_y-0p030.json
