trial_id,object_name,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,error
0000_claw_hammer_predefined,claw_hammer,swing_down,predefined,0,claw_hammer,,,,-0.22269390561861938,0.04258896007442232,False,,True,True,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0001_claw_hammer_llm_lie_x-0p350_y-0p200,claw_hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,-0.16,False,,True,True,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0002_claw_hammer_llm_lie_x+0p350_y-0p200,claw_hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,-0.16,False,,True,True,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0003_claw_hammer_llm_lie_x-0p350_y+0p200,claw_hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,0.16,False,,True,True,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0004_claw_hammer_llm_lie_x+0p350_y+0p200,claw_hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,0.16,False,,True,True,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0005_claw_hammer_llm_only_x-0p350_y-0p200,claw_hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.299706998926826,0.4507988645305435,74.56666725376134,108.91685030780609,1.0647205635790191,0.5472764524072937,0.5140094698346428,38.0,
0006_claw_hammer_llm_only_x+0p350_y-0p200,claw_hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.36029234453883907,0.5361173650797488,74.56666725376134,108.91685030780609,1.0647205635790191,0.38392820167787933,0.36059057635490643,38.0,
0007_claw_hammer_llm_only_x-0p350_y+0p200,claw_hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.22696326816818788,0.35638093325726994,74.56666725376134,108.91685030780609,1.0647205635790191,0.45790084500601247,0.43006668666827996,38.0,
0008_claw_hammer_llm_only_x+0p350_y+0p200,claw_hammer,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.32361095370991166,0.4617405890422783,74.56666725376134,108.91685030780609,1.0647205635790191,0.28740940336070636,0.2699388113577803,38.0,
0009_mallet_hammer_predefined,mallet_hammer,swing_down,predefined,0,mallet_hammer,,,,-0.1397246196175466,0.05058474355746264,False,,True,True,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0010_mallet_hammer_llm_lie_x-0p350_y-0p200,mallet_hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.19749999999999998,-0.16,False,,True,True,22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0011_mallet_hammer_llm_lie_x+0p350_y-0p200,mallet_hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.19749999999999998,-0.16,False,,True,True,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0012_mallet_hammer_llm_lie_x-0p350_y+0p200,mallet_hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.19749999999999998,0.16,False,,True,True,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0013_mallet_hammer_llm_lie_x+0p350_y+0p200,mallet_hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.19749999999999998,0.16,False,,True,True,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0014_mallet_hammer_llm_only_x-0p350_y-0p200,mallet_hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.3292534193420999,0.4650592370041641,71.98580375397485,102.85215039925632,0.6542138327682845,0.528348304107269,0.8076079679813255,37.0,
0015_mallet_hammer_llm_only_x+0p350_y-0p200,mallet_hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.32517912279594285,0.48786282268625636,71.98580375397485,102.85215039925632,0.6542138327682845,0.3590224514285067,0.5487845616307361,37.0,
0016_mallet_hammer_llm_only_x-0p350_y+0p200,mallet_hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.3046048077498535,0.37751336958062603,71.98580375397485,102.85215039925632,0.6542138327682845,0.4822840798378015,0.7371963961645877,37.0,
0017_mallet_hammer_llm_only_x+0p350_y+0p200,mallet_hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.30841268424114704,0.4121675448497301,71.98580375397485,102.85215039925632,0.6542138327682845,0.28376301984970576,0.4337465911550231,37.0,
0018_cuboid_hammer_v014_predefined,cuboid_hammer_v014,swing_down,predefined,0,claw_hammer,,,,-0.1959162963345168,0.047830040448630005,False,,True,True,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0019_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,-0.16,False,,True,True,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0020_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,-0.16,False,,True,True,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0021_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,0.16,False,,True,True,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
