trial_id,object_name,tool_family,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,hammer_swing_solver,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,semantic_contact_point_xy_error_m,screwdriver_max_primary_axis_tilt_deg,screwdriver_twist_angle_span_deg,error,replay_artifact_path
0000_long_screwdriver_llm_lie_x-0p150_y-0p130,long_screwdriver,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.15,-0.13,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0000_long_screwdriver_llm_lie_x-0p150_y-0p130.json
0001_long_screwdriver_llm_lie_x+0p000_y-0p130,long_screwdriver,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.0,-0.13,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.041905699025962e-17,0.0,360.0,,geometry/replay/trials/0001_long_screwdriver_llm_lie_x+0p000_y-0p130.json
0002_long_screwdriver_llm_lie_x+0p150_y-0p130,long_screwdriver,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.15,-0.13,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0002_long_screwdriver_llm_lie_x+0p150_y-0p130.json
0003_long_screwdriver_llm_lie_x-0p150_y-0p080,long_screwdriver,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.15,-0.08,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0003_long_screwdriver_llm_lie_x-0p150_y-0p080.json
0004_long_screwdriver_llm_lie_x+0p000_y-0p080,long_screwdriver,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.0,-0.08,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.041905699025962e-17,0.0,360.0,,geometry/replay/trials/0004_long_screwdriver_llm_lie_x+0p000_y-0p080.json
0005_long_screwdriver_llm_lie_x+0p150_y-0p080,long_screwdriver,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.15,-0.08,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0005_long_screwdriver_llm_lie_x+0p150_y-0p080.json
0006_long_screwdriver_llm_lie_x-0p150_y-0p030,long_screwdriver,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.15,-0.03,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0006_long_screwdriver_llm_lie_x-0p150_y-0p030.json
0007_long_screwdriver_llm_lie_x+0p000_y-0p030,long_screwdriver,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.0,-0.03,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.041905699025962e-17,0.0,360.0,,geometry/replay/trials/0007_long_screwdriver_llm_lie_x+0p000_y-0p030.json
0008_long_screwdriver_llm_lie_x+0p150_y-0p030,long_screwdriver,screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.15,-0.03,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0008_long_screwdriver_llm_lie_x+0p150_y-0p030.json
0009_short_screwdriver_llm_lie_x-0p150_y-0p130,short_screwdriver,screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.15,-0.13,False,,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,360.0,,geometry/replay/trials/0009_short_screwdriver_llm_lie_x-0p150_y-0p130.json
