trial_id,geometry_trial_id,object_name,task_name,mode,seed,execution_success,goal_completion_pct,peak_success_count,failure_stage,failure_category,error,artifact_dir,resolved_baseline_object,eval_returncode,produced_eval_json
0000_claw_hammer_predefined,0000_claw_hammer_predefined,claw_hammer,swing_down,predefined,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0000_claw_hammer_predefined,claw_hammer,0,True
0001_claw_hammer_llm_lie_x-0p350_y-0p200,0001_claw_hammer_llm_lie_x-0p350_y-0p200,claw_hammer,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0001_claw_hammer_llm_lie_x-0p350_y-0p200,claw_hammer,0,True
0002_claw_hammer_llm_lie_x+0p350_y-0p200,0002_claw_hammer_llm_lie_x+0p350_y-0p200,claw_hammer,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0002_claw_hammer_llm_lie_x+0p350_y-0p200,claw_hammer,0,True
0003_claw_hammer_llm_lie_x-0p350_y+0p200,0003_claw_hammer_llm_lie_x-0p350_y+0p200,claw_hammer,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0003_claw_hammer_llm_lie_x-0p350_y+0p200,claw_hammer,0,True
0004_claw_hammer_llm_lie_x+0p350_y+0p200,0004_claw_hammer_llm_lie_x+0p350_y+0p200,claw_hammer,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0004_claw_hammer_llm_lie_x+0p350_y+0p200,claw_hammer,0,True
0005_mallet_hammer_predefined,0005_mallet_hammer_predefined,mallet_hammer,swing_down,predefined,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0005_mallet_hammer_predefined,mallet_hammer,0,True
0006_mallet_hammer_llm_lie_x-0p350_y-0p200,0006_mallet_hammer_llm_lie_x-0p350_y-0p200,mallet_hammer,swing_down,llm_lie,0,True,100.0,100,,,,experiments/results/thesis_main_6obj/execution/artifacts/0006_mallet_hammer_llm_lie_x-0p350_y-0p200,mallet_hammer,0,True
0007_mallet_hammer_llm_lie_x+0p350_y-0p200,0007_mallet_hammer_llm_lie_x+0p350_y-0p200,mallet_hammer,swing_down,llm_lie,0,True,66.66666666666667,67,,,,experiments/results/thesis_main_6obj/execution/artifacts/0007_mallet_hammer_llm_lie_x+0p350_y-0p200,mallet_hammer,0,True
0008_mallet_hammer_llm_lie_x-0p350_y+0p200,0008_mallet_hammer_llm_lie_x-0p350_y+0p200,mallet_hammer,swing_down,llm_lie,0,True,78.94736842105263,79,,,,experiments/results/thesis_main_6obj/execution/artifacts/0008_mallet_hammer_llm_lie_x-0p350_y+0p200,mallet_hammer,0,True
0009_mallet_hammer_llm_lie_x+0p350_y+0p200,0009_mallet_hammer_llm_lie_x+0p350_y+0p200,mallet_hammer,swing_down,llm_lie,0,False,0.0,0,,,,experiments/results/thesis_main_6obj/execution/artifacts/0009_mallet_hammer_llm_lie_x+0p350_y+0p200,mallet_hammer,0,True
