trial_id,geometry_trial_id,object_name,task_name,mode,policy_variant,benchmark_cell,seed,execution_success,goal_completion_pct,peak_success_count,tracking_success_rate,translation_rmse_m,rotation_rmse_deg,mean_translation_error_m,mean_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,failure_stage,failure_category,error,artifact_dir,trace_path,resolved_baseline_object,eval_returncode,produced_eval_json,replay_artifact_path
0000_claw_hammer_predefined_pretrained,0000_claw_hammer_predefined,claw_hammer,swing_down,predefined,pretrained,predefined + pretrained,0,True,100.0,100,0.01,0.06118210318799278,18.014265132322436,0.055760454725261074,14.24975571656834,0.07908689457855388,4.4321367066224315,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0000_claw_hammer_predefined_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0000_claw_hammer_predefined_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0000_claw_hammer_predefined_pretrained.json
0001_claw_hammer_llm_lie_x-0p350_y-0p200_pretrained,0001_claw_hammer_llm_lie_x-0p350_y-0p200,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.02181818181818182,0.19018033992598338,65.6316521733054,0.1532056223435726,50.403092902652055,0.2537147685769969,101.1060632550749,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0001_claw_hammer_llm_lie_x-0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0001_claw_hammer_llm_lie_x-0p350_y-0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0001_claw_hammer_llm_lie_x-0p350_y-0p200_pretrained.json
0002_claw_hammer_llm_lie_x+0p350_y-0p200_pretrained,0002_claw_hammer_llm_lie_x+0p350_y-0p200,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.011061946902654867,0.10528676644410154,72.25934015011575,0.09268313130965798,60.63048020850662,0.14156949975558739,89.42111719012628,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0002_claw_hammer_llm_lie_x+0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0002_claw_hammer_llm_lie_x+0p350_y-0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0002_claw_hammer_llm_lie_x+0p350_y-0p200_pretrained.json
0003_claw_hammer_llm_lie_x-0p350_y+0p200_pretrained,0003_claw_hammer_llm_lie_x-0p350_y+0p200,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.041353383458646614,0.11561102299615114,66.92987843643387,0.08969018276759251,45.602798987085116,0.17718584076747262,132.04986078049905,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0003_claw_hammer_llm_lie_x-0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0003_claw_hammer_llm_lie_x-0p350_y+0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0003_claw_hammer_llm_lie_x-0p350_y+0p200_pretrained.json
0004_claw_hammer_llm_lie_x+0p350_y+0p200_pretrained,0004_claw_hammer_llm_lie_x+0p350_y+0p200,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.03634888099432978,74.75049347560456,0.03300001397197808,57.73599298887555,0.02689617479500274,138.3254952330112,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0004_claw_hammer_llm_lie_x+0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0004_claw_hammer_llm_lie_x+0p350_y+0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0004_claw_hammer_llm_lie_x+0p350_y+0p200_pretrained.json
0005_claw_hammer_llm_only_x-0p350_y-0p200_pretrained,0005_claw_hammer_llm_only_x-0p350_y-0p200,claw_hammer,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,50.0,50,0.002260738507912585,0.06498631725494032,90.46003568522413,0.04080787303530419,85.23153764575157,0.19513499577316226,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0005_claw_hammer_llm_only_x-0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0005_claw_hammer_llm_only_x-0p350_y-0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0005_claw_hammer_llm_only_x-0p350_y-0p200_pretrained.json
0006_claw_hammer_llm_only_x+0p350_y-0p200_pretrained,0006_claw_hammer_llm_only_x+0p350_y-0p200,claw_hammer,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.0,0.08639902629502981,39.41917670169844,0.07793123058787316,32.80211795387555,0.14755221243676217,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0006_claw_hammer_llm_only_x+0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0006_claw_hammer_llm_only_x+0p350_y-0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0006_claw_hammer_llm_only_x+0p350_y-0p200_pretrained.json
0007_claw_hammer_llm_only_x-0p350_y+0p200_pretrained,0007_claw_hammer_llm_only_x-0p350_y+0p200,claw_hammer,swing_down,llm_only,pretrained,llm_only + pretrained,0,False,0.0,0,0.0,0.1345097903897155,65.92175001935942,0.1315592990880924,57.868586877313504,0.2318663482698129,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0007_claw_hammer_llm_only_x-0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0007_claw_hammer_llm_only_x-0p350_y+0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0007_claw_hammer_llm_only_x-0p350_y+0p200_pretrained.json
0008_claw_hammer_llm_only_x+0p350_y+0p200_pretrained,0008_claw_hammer_llm_only_x+0p350_y+0p200,claw_hammer,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,75.0,75,0.013333333333333334,0.10195099220299243,56.2148038179421,0.0823610291823854,36.6815525627813,0.09339109389732521,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0008_claw_hammer_llm_only_x+0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0008_claw_hammer_llm_only_x+0p350_y+0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0008_claw_hammer_llm_only_x+0p350_y+0p200_pretrained.json
0009_mallet_hammer_predefined_pretrained,0009_mallet_hammer_predefined,mallet_hammer,swing_down,predefined,pretrained,predefined + pretrained,0,True,100.0,100,0.007309941520467836,0.05734434625194402,19.670281358906937,0.0532191334513238,15.644270944900642,0.0730154006234895,6.925724076977944,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0009_mallet_hammer_predefined_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0009_mallet_hammer_predefined_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0009_mallet_hammer_predefined_pretrained.json
