trial_id,object_name,tool_family,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,semantic_contact_point_xy_error_m,screwdriver_max_primary_axis_tilt_deg,screwdriver_twist_angle_span_deg,error,replay_artifact_path
0000_claw_hammer_predefined,claw_hammer,hammer,swing_down,predefined,0,claw_hammer,,,,-0.22269390561861938,0.04258896007442232,False,,True,True,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05898793402068326,,,,geometry/replay/trials/0000_claw_hammer_predefined.json
0001_claw_hammer_llm_lie_x-0p350_y-0p200,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,-0.16,False,,True,True,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.925231146709438e-17,,,,geometry/replay/trials/0001_claw_hammer_llm_lie_x-0p350_y-0p200.json
0002_claw_hammer_llm_lie_x+0p000_y-0p200,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.16,False,,True,True,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1031676915590914e-17,,,,geometry/replay/trials/0002_claw_hammer_llm_lie_x+0p000_y-0p200.json
0003_claw_hammer_llm_lie_x+0p350_y-0p200,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,-0.16,False,,True,True,15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.051477339901207e-09,,,,geometry/replay/trials/0003_claw_hammer_llm_lie_x+0p350_y-0p200.json
0004_claw_hammer_llm_lie_x-0p350_y+0p000,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,0.0,False,,True,True,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.594315114139762e-17,,,,geometry/replay/trials/0004_claw_hammer_llm_lie_x-0p350_y+0p000.json
0005_claw_hammer_llm_lie_x+0p000_y+0p000,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,0.0,False,,True,True,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.076311083754595e-17,,,,geometry/replay/trials/0005_claw_hammer_llm_lie_x+0p000_y+0p000.json
0006_claw_hammer_llm_lie_x+0p350_y+0p000,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,0.0,False,,True,True,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7841710680739228e-09,,,,geometry/replay/trials/0006_claw_hammer_llm_lie_x+0p350_y+0p000.json
0007_claw_hammer_llm_lie_x-0p350_y+0p200,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,0.16,False,,True,True,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,,,,geometry/replay/trials/0007_claw_hammer_llm_lie_x-0p350_y+0p200.json
0008_claw_hammer_llm_lie_x+0p000_y+0p200,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,0.16,False,,True,True,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013897224148116e-08,,,,geometry/replay/trials/0008_claw_hammer_llm_lie_x+0p000_y+0p200.json
0009_claw_hammer_llm_lie_x+0p350_y+0p200,claw_hammer,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,0.16,False,,True,True,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.925231146709438e-17,,,,geometry/replay/trials/0009_claw_hammer_llm_lie_x+0p350_y+0p200.json
