trial_id,geometry_trial_id,object_name,task_name,mode,policy_variant,benchmark_cell,seed,execution_success,goal_completion_pct,peak_success_count,tracking_success_rate,translation_rmse_m,rotation_rmse_deg,mean_translation_error_m,mean_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,dropped_count,dropped_first_step,object_z_low_count,object_z_low_first_step,geometry_goal_count,execution_goal_count,reference_goal_count,execution_goal_transform,execution_goal_cycle_style,failure_stage,failure_category,error,artifact_dir,trace_path,resolved_baseline_object,eval_returncode,produced_eval_json,replay_artifact_path
0000_claw_hammer_predefined_pretrained,0000_claw_hammer_predefined,claw_hammer,swing_down,predefined,pretrained,predefined + pretrained,0,True,100.0,100,0.01002004008016032,0.061140957713617106,18.031214878816336,0.05571370835280959,14.26943030376262,0.13920811976394737,106.39170397373593,0,,0,,37,37,37,identity,,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0000_claw_hammer_predefined_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0000_claw_hammer_predefined_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0000_claw_hammer_predefined_pretrained.json
0001_claw_hammer_llm_lie_x-0p150_y-0p130_pretrained,0001_claw_hammer_llm_lie_x-0p150_y-0p130,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.036848792884371026,0.09388441972369195,36.981795864821194,0.06785819435955183,23.492653257195606,0.01773368216807274,12.340609220375143,0,,0,,10,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0001_claw_hammer_llm_lie_x-0p150_y-0p130_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0001_claw_hammer_llm_lie_x-0p150_y-0p130_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0001_claw_hammer_llm_lie_x-0p150_y-0p130_pretrained.json
0002_claw_hammer_llm_lie_x+0p000_y-0p130_pretrained,0002_claw_hammer_llm_lie_x+0p000_y-0p130,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.022170361726954493,0.07726263703755909,33.08018450047519,0.05983431943168543,20.25830137086609,0.040191369831953476,5.829545837606358,0,,0,,10,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0002_claw_hammer_llm_lie_x+0p000_y-0p130_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0002_claw_hammer_llm_lie_x+0p000_y-0p130_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0002_claw_hammer_llm_lie_x+0p000_y-0p130_pretrained.json
0003_claw_hammer_llm_lie_x+0p150_y-0p130_pretrained,0003_claw_hammer_llm_lie_x+0p150_y-0p130,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.04267589388696655,0.07506923796586819,36.71328229798608,0.0583431940905101,24.339363940790253,0.03981432172243213,4.437945140897615,0,,0,,10,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0003_claw_hammer_llm_lie_x+0p150_y-0p130_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0003_claw_hammer_llm_lie_x+0p150_y-0p130_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0003_claw_hammer_llm_lie_x+0p150_y-0p130_pretrained.json
0004_claw_hammer_llm_lie_x-0p150_y-0p080_pretrained,0004_claw_hammer_llm_lie_x-0p150_y-0p080,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.03162055335968379,0.09192792345589287,38.72843325944205,0.07001376409714531,23.35670521355693,0.03337387962897642,7.77868666382358,0,,0,,10,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0004_claw_hammer_llm_lie_x-0p150_y-0p080_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0004_claw_hammer_llm_lie_x-0p150_y-0p080_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0004_claw_hammer_llm_lie_x-0p150_y-0p080_pretrained.json
0005_claw_hammer_llm_lie_x+0p000_y-0p080_pretrained,0005_claw_hammer_llm_lie_x+0p000_y-0p080,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.06596701649175413,0.09240965550148812,44.898572548589165,0.07041946179135744,27.61254612876647,0.041961608338911854,2.7137720769963836,0,,0,,10,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0005_claw_hammer_llm_lie_x+0p000_y-0p080_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0005_claw_hammer_llm_lie_x+0p000_y-0p080_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0005_claw_hammer_llm_lie_x+0p000_y-0p080_pretrained.json
0006_claw_hammer_llm_lie_x+0p150_y-0p080_pretrained,0006_claw_hammer_llm_lie_x+0p150_y-0p080,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.024043715846994537,0.0742888205512697,38.470931619779016,0.05792602283140891,26.621781358151946,0.14045034915943283,164.93999865010736,153,915.0,0,,10,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0006_claw_hammer_llm_lie_x+0p150_y-0p080_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0006_claw_hammer_llm_lie_x+0p150_y-0p080_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0006_claw_hammer_llm_lie_x+0p150_y-0p080_pretrained.json
0007_claw_hammer_llm_lie_x-0p150_y-0p030_pretrained,0007_claw_hammer_llm_lie_x-0p150_y-0p030,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,False,97.29729729729729,97,0.018145161290322582,0.10158121052403887,54.34540606026965,0.07504458173747945,38.82133579096422,0.3538576295824244,127.58184785060686,9809,992.0,9793,1008.0,10,37,37,cycle_to_predefined_length,mirrored,execution_failure,experiment_timeout,,experiments/results/thesis_main_v3_v3/execution/artifacts/0007_claw_hammer_llm_lie_x-0p150_y-0p030_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0007_claw_hammer_llm_lie_x-0p150_y-0p030_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0007_claw_hammer_llm_lie_x-0p150_y-0p030_pretrained.json
0008_claw_hammer_llm_lie_x+0p000_y-0p030_pretrained,0008_claw_hammer_llm_lie_x+0p000_y-0p030,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.02138157894736842,0.07292526531155191,36.6278161558019,0.05571425602953582,24.808623217782067,0.036133803637297686,10.49052224950721,0,,0,,10,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0008_claw_hammer_llm_lie_x+0p000_y-0p030_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0008_claw_hammer_llm_lie_x+0p000_y-0p030_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0008_claw_hammer_llm_lie_x+0p000_y-0p030_pretrained.json
0009_claw_hammer_llm_lie_x+0p150_y-0p030_pretrained,0009_claw_hammer_llm_lie_x+0p150_y-0p030,claw_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.006557377049180328,0.12136986689252273,65.63612025895802,0.09716615615062339,52.54582301707833,0.11912278147206126,87.15500110718959,262,305.0,0,,10,37,37,cycle_to_predefined_length,mirrored,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0009_claw_hammer_llm_lie_x+0p150_y-0p030_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0009_claw_hammer_llm_lie_x+0p150_y-0p030_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0009_claw_hammer_llm_lie_x+0p150_y-0p030_pretrained.json
